,city,timezone,date_time,league_name,home_team,home_team_name,home_id,home_team_city,home_team_country,home_capacity,away_team,away_id,away_team_city,away_team_country,iata_h,iata_a,icao_h,icao_a,airport_city_h,airport_city_a,lat_h,lon_h,lat_a,lon_a,Average_flights,number_of_flights,Air France,Lufthansa,British Airways
55,Barcelona,UTC,2020-10-20 19:00:00,UEFA Champions League,Barcelona,Barcelona,529,Barcelona,Spain,99787,Ferencvarosi TC,651,Budapest,Hungary,BCN,QEB,LEBL,LHBS,Barcelona,Budapest,41.29707,2.078463,47.450832,18.980556,7.53,8,0.0,0.0,1.0
56,Roma,UTC,2020-10-20 19:00:00,UEFA Champions League,Lazio,Lazio,487,Roma,Italy,68530,Borussia Dortmund,165,Dortmund,Germany,RMA,DTM,YROM,EDLW,Roma,Dortmund,-26.545,148.774719,51.518311,7.612242,3.27,4,0.0,0.0,0.0
57,Leipzig,UTC,2020-10-20 19:00:00,UEFA Champions League,RB Leipzig,RB Leipzig,173,Leipzig,Germany,47069,Istanbul Basaksehir,564,İstanbul,Turkey,LEJ,IST,EDDP,LTFM,Leipzig,Istanbul,51.432442,12.24163,41.267052,28.729757,5.25,8,0.0,0.0,0.0
58,London,UTC,2020-10-20 19:00:00,UEFA Champions League,Chelsea,Chelsea,49,London,England,41841,Sevilla,536,Sevilla,Spain,BQH,MAD,EGKB,LEMD,London,Madrid,51.33083,0.0325,40.488701,-3.57,3.06,3,1.0,1.0,0.0
60,Paris,UTC,2020-10-20 19:00:00,UEFA Champions League,Paris Saint Germain,Paris Saint Germain,85,Paris,France,47929,Manchester United,33,Manchester,England,BVA,MAN,LFOB,EGCC,Paris,Manchester,49.454441,2.112778,53.353741,-2.27495,10.25,11,0.0,1.0,2.0
61,Wals-Siezenheim,UTC,2020-10-21 16:55:00,UEFA Champions League,Red Bull Salzburg,Red Bull Salzburg,571,Wals-Siezenheim,Austria,31895,Lokomotiv Moscow,597,Moskva,Russia,VIE,SVO,LOWW,UUEE,Vienna,Moscow,48.110271,16.569719,55.972641,37.414581,4.34,5,0.0,1.0,1.0
62,Madrid,UTC,2020-10-21 16:55:00,UEFA Champions League,Real Madrid,Real Madrid,541,Madrid,Spain,85454,Shakhtar Donetsk,550,Kiev,Ukraine,MAD,KBP,LEMD,UKBB,Madrid,Kyiv,40.488701,-3.57,50.345001,30.89472,10.28,13,2.0,0.0,1.0
63,Herning,UTC,2020-10-21 19:00:00,UEFA Champions League,FC Midtjylland,FC Midtjylland,397,Herning,Denmark,11809,Atalanta,499,Bergamo,Italy,CPH,FCO,EKCH,LIRF,Copenhagen,Rome,55.616959,12.645637,41.80447,12.25079,13.38,14,0.0,0.0,0.0
64,München,UTC,2020-10-21 19:00:00,UEFA Champions League,Bayern Munich,Bayern Munich,157,München,Germany,75000,Atletico Madrid,530,Madrid,Spain,FRA,MAD,EDDF,LEMD,Frankfurt,Madrid,50.037796,8.555783,40.488701,-3.57,4.98,5,0.0,0.0,0.0
65,Milano,UTC,2020-10-21 19:00:00,UEFA Champions League,Inter,Inter,505,Milano,Italy,80018,Borussia Monchengladbach,163,Mönchengladbach,Germany,FCO,FRA,LIRF,EDDF,Rome,Frankfurt,41.80447,12.25079,50.037796,8.555783,9.32,10,0.0,0.0,1.0
66,Manchester,UTC,2020-10-21 19:00:00,UEFA Champions League,Manchester City,Manchester City,50,Manchester,England,55097,FC Porto,212,Porto,Portugal,MAN,OPO,EGCC,LPPR,Manchester,Porto,53.353741,-2.27495,41.248051,-8.68138,7.01,7,0.0,0.0,0.0
67,Piraeus,UTC,2020-10-21 19:00:00,UEFA Champions League,Olympiakos Piraeus,Olympiakos Piraeus,553,Piraeus,Greece,33296,Marseille,81,Marseille,France,ATH,MRS,LGAV,LFML,Athens,Marseille,37.936352,23.94446,43.436661,5.215,12.89,16,3.0,0.0,1.0
68,Amsterdam,UTC,2020-10-21 19:00:00,UEFA Champions League,Ajax,Ajax,194,Amsterdam,Netherlands,54990,Liverpool,40,Liverpool,England,AMS,LPL,EHAM,EGGP,Amsterdam,Liverpool,52.308609,4.763889,53.333611,-2.84972,3.85,4,1.0,2.0,1.0
69,Kiev,UTC,2020-10-27 17:55:00,UEFA Champions League,Shakhtar Donetsk,Shakhtar Donetsk,550,Kiev,Ukraine,70050,Inter,505,Milano,Italy,KBP,FCO,UKBB,LIRF,Kyiv,Rome,50.345001,30.89472,41.80447,12.25079,6.81,6,0.0,1.0,1.0
70,Moskva,UTC,2020-10-27 17:55:00,UEFA Champions League,Lokomotiv Moscow,Lokomotiv Moscow,597,Moskva,Russia,28800,Bayern Munich,157,München,Germany,SVO,FRA,UUEE,EDDF,Moscow,Frankfurt,55.972641,37.414581,50.037796,8.555783,3.76,3,0.0,0.0,0.0
71,Madrid,UTC,2020-10-27 20:00:00,UEFA Champions League,Atletico Madrid,Atletico Madrid,530,Madrid,Spain,68456,Red Bull Salzburg,571,Wals-Siezenheim,Austria,MAD,VIE,LEMD,LOWW,Madrid,Vienna,40.488701,-3.57,48.110271,16.569719,7.22,9,0.0,2.0,0.0
72,Mönchengladbach,UTC,2020-10-27 20:00:00,UEFA Champions League,Borussia Monchengladbach,Borussia Monchengladbach,163,Mönchengladbach,Germany,54057,Real Madrid,541,Madrid,Spain,FRA,MAD,EDDF,LEMD,Frankfurt,Madrid,50.037796,8.555783,40.488701,-3.57,7.41,8,0.0,1.0,1.0
73,Porto,UTC,2020-10-27 20:00:00,UEFA Champions League,FC Porto,FC Porto,212,Porto,Portugal,50399,Olympiakos Piraeus,553,Piraeus,Greece,OPO,ATH,LPPR,LGAV,Porto,Athens,41.248051,-8.68138,37.936352,23.94446,13.62,15,1.0,1.0,0.0
74,Marseille,UTC,2020-10-27 20:00:00,UEFA Champions League,Marseille,Marseille,81,Marseille,France,67394,Manchester City,50,Manchester,England,MRS,MAN,LFML,EGCC,Marseille,Manchester,43.436661,5.215,53.353741,-2.27495,3.99,6,1.0,0.0,1.0
75,Liverpool,UTC,2020-10-27 20:00:00,UEFA Champions League,Liverpool,Liverpool,40,Liverpool,England,55212,FC Midtjylland,397,Herning,Denmark,LPL,CPH,EGGP,EKCH,Liverpool,Copenhagen,53.333611,-2.84972,55.616959,12.645637,4.15,7,1.0,1.0,0.0
76,Bergamo,UTC,2020-10-27 20:00:00,UEFA Champions League,Atalanta,Atalanta,499,Bergamo,Italy,21300,Ajax,194,Amsterdam,Netherlands,FCO,AMS,LIRF,EHAM,Rome,Amsterdam,41.80447,12.25079,52.308609,4.763889,4.02,5,0.0,1.0,1.0
77,Krasnodar,UTC,2020-10-28 17:55:00,UEFA Champions League,Krasnodar,Krasnodar,621,Krasnodar,Russia,35074,Chelsea,49,London,England,KRR,BQH,URKK,EGKB,Krasnodar,London,45.034679,39.170528,51.33083,0.0325,6.58,7,0.0,2.0,0.0
79,Manchester,UTC,2020-10-28 20:00:00,UEFA Champions League,Manchester United,Manchester United,33,Manchester,England,76212,RB Leipzig,173,Leipzig,Germany,MAN,LEJ,EGCC,EDDP,Manchester,Leipzig,53.353741,-2.27495,51.432442,12.24163,2.91,2,1.0,1.0,0.0
80,Budapest,UTC,2020-10-28 20:00:00,UEFA Champions League,Ferencvarosi TC,Ferencvarosi TC,651,Budapest,Hungary,23698,Dynamo Kyiv,572,Kiev,Ukraine,QEB,KBP,LHBS,UKBB,Budapest,Kyiv,47.450832,18.980556,50.345001,30.89472,2.46,3,1.0,0.0,0.0
81,Torino,UTC,2020-10-28 20:00:00,UEFA Champions League,Juventus,Juventus,496,Torino,Italy,45666,Barcelona,529,Barcelona,Spain,FCO,BCN,LIRF,LEBL,Rome,Barcelona,41.80447,12.25079,41.29707,2.078463,4.7,5,0.0,2.0,2.0
82,Dortmund,UTC,2020-10-28 20:00:00,UEFA Champions League,Borussia Dortmund,Borussia Dortmund,165,Dortmund,Germany,81365,Zenit Saint Petersburg,596,St. Petersburg,Russia,DTM,SPG,EDLW,KSPG,Dortmund,St. Petersburg,51.518311,7.612242,27.76511,-82.6269,6.83,10,0.0,1.0,1.0
83,Sevilla,UTC,2020-10-28 20:00:00,UEFA Champions League,Sevilla,Sevilla,536,Sevilla,Spain,48649,Rennes,94,Rennes,France,MAD,RNS,LEMD,LFRN,Madrid,Rennes,40.488701,-3.57,48.071941,-1.73222,3.14,3,0.0,1.0,2.0
84,Brugge,UTC,2020-10-28 20:00:00,UEFA Champions League,Club Brugge KV,Club Brugge KV,569,Brugge,Belgium,29062,Lazio,487,Roma,Italy,BRU,RMA,EBBR,YROM,Brussels,Roma,50.901379,4.484444,-26.545,148.774719,4.61,6,4.0,1.0,0.0
85,Moskva,UTC,2020-11-03 17:55:00,UEFA Champions League,Lokomotiv Moscow,Lokomotiv Moscow,597,Moskva,Russia,28800,Atletico Madrid,530,Madrid,Spain,SVO,MAD,UUEE,LEMD,Moscow,Madrid,55.972641,37.414581,40.488701,-3.57,2.13,2,0.0,1.0,0.0
86,Kiev,UTC,2020-11-03 17:55:00,UEFA Champions League,Shakhtar Donetsk,Shakhtar Donetsk,550,Kiev,Ukraine,70050,Borussia Monchengladbach,163,Mönchengladbach,Germany,KBP,FRA,UKBB,EDDF,Kyiv,Frankfurt,50.345001,30.89472,50.037796,8.555783,10.85,11,0.0,0.0,0.0
