,city,timezone,date_time,league_name,home_team,home_team_name,home_id,home_team_city,home_team_country,home_capacity,away_team,away_id,away_team_city,away_team_country,iata_h,iata_a,icao_h,icao_a,airport_city_h,airport_city_a,lat_h,lon_h,lat_a,lon_a,Average_flights,number_of_flights,Air France,Lufthansa,British Airways
128,Sevilla,UTC,2020-12-02 20:00:00,UEFA Champions League,Sevilla,Sevilla,536,Sevilla,Spain,48649,Chelsea,49,London,England,MAD,BQH,LEMD,EGKB,Madrid,London,40.488701,-3.57,51.33083,0.0325,5.72,7,2.0,0.0,0.0
129,Dortmund,UTC,2020-12-02 20:00:00,UEFA Champions League,Borussia Dortmund,Borussia Dortmund,165,Dortmund,Germany,81365,Lazio,487,Roma,Italy,DTM,RMA,EDLW,YROM,Dortmund,Roma,51.518311,7.612242,-26.545,148.774719,7.82,8,1.0,0.0,0.0
130,Brugge,UTC,2020-12-02 20:00:00,UEFA Champions League,Club Brugge KV,Club Brugge KV,569,Brugge,Belgium,29062,Zenit Saint Petersburg,596,St. Petersburg,Russia,BRU,SPG,EBBR,KSPG,Brussels,St. Petersburg,50.901379,4.484444,27.76511,-82.6269,8.62,11,0.0,2.0,0.0
131,Torino,UTC,2020-12-02 20:00:00,UEFA Champions League,Juventus,Juventus,496,Torino,Italy,45666,Dynamo Kyiv,572,Kiev,Ukraine,FCO,KBP,LIRF,UKBB,Rome,Kyiv,41.80447,12.25079,50.345001,30.89472,5.5,5,0.0,1.0,0.0
133,Roma,UTC,2020-12-08 17:55:00,UEFA Champions League,Lazio,Lazio,487,Roma,Italy,68530,Club Brugge KV,569,Brugge,Belgium,RMA,BRU,YROM,EBBR,Roma,Brussels,-26.545,148.774719,50.901379,4.484444,4.59,4,1.0,0.0,1.0
134,St. Petersburg,UTC,2020-12-08 17:55:00,UEFA Champions League,Zenit Saint Petersburg,Zenit Saint Petersburg,596,St. Petersburg,Russia,68134,Borussia Dortmund,165,Dortmund,Germany,SPG,DTM,KSPG,EDLW,St. Petersburg,Dortmund,27.76511,-82.6269,51.518311,7.612242,12.85,15,0.0,0.0,1.0
135,London,UTC,2020-12-08 20:00:00,UEFA Champions League,Chelsea,Chelsea,49,London,England,41841,Krasnodar,621,Krasnodar,Russia,BQH,KRR,EGKB,URKK,London,Krasnodar,51.33083,0.0325,45.034679,39.170528,3.77,3,1.0,0.0,0.0
136,Rennes,UTC,2020-12-08 20:00:00,UEFA Champions League,Rennes,Rennes,94,Rennes,France,31127,Sevilla,536,Sevilla,Spain,RNS,MAD,LFRN,LEMD,Rennes,Madrid,48.071941,-1.73222,40.488701,-3.57,9.02,10,0.0,1.0,1.0
137,Barcelona,UTC,2020-12-08 20:00:00,UEFA Champions League,Barcelona,Barcelona,529,Barcelona,Spain,99787,Juventus,496,Torino,Italy,BCN,FCO,LEBL,LIRF,Barcelona,Rome,41.29707,2.078463,41.80447,12.25079,13.81,15,1.0,3.0,0.0
138,Kiev,UTC,2020-12-08 20:00:00,UEFA Champions League,Dynamo Kyiv,Dynamo Kyiv,572,Kiev,Ukraine,70050,Ferencvarosi TC,651,Budapest,Hungary,KBP,QEB,UKBB,LHBS,Kyiv,Budapest,50.345001,30.89472,47.450832,18.980556,5.07,5,0.0,0.0,0.0
139,Leipzig,UTC,2020-12-08 20:00:00,UEFA Champions League,RB Leipzig,RB Leipzig,173,Leipzig,Germany,47069,Manchester United,33,Manchester,England,LEJ,MAN,EDDP,EGCC,Leipzig,Manchester,51.432442,12.24163,53.353741,-2.27495,4.17,7,1.0,0.0,1.0
140,Herning,UTC,2020-12-09 17:55:00,UEFA Champions League,FC Midtjylland,FC Midtjylland,397,Herning,Denmark,11809,Liverpool,40,Liverpool,England,CPH,LPL,EKCH,EGGP,Copenhagen,Liverpool,55.616959,12.645637,53.333611,-2.84972,13.02,15,2.0,1.0,0.0
141,Paris,UTC,2020-12-09 17:55:00,UEFA Champions League,Paris Saint Germain,Paris Saint Germain,85,Paris,France,47929,Istanbul Basaksehir,564,İstanbul,Turkey,BVA,IST,LFOB,LTFM,Paris,Istanbul,49.454441,2.112778,41.267052,28.729757,6.79,8,2.0,1.0,0.0
142,Amsterdam,UTC,2020-12-09 17:55:00,UEFA Champions League,Ajax,Ajax,194,Amsterdam,Netherlands,54990,Atalanta,499,Bergamo,Italy,AMS,FCO,EHAM,LIRF,Amsterdam,Rome,52.308609,4.763889,41.80447,12.25079,7.38,10,1.0,1.0,0.0
143,Piraeus,UTC,2020-12-09 20:00:00,UEFA Champions League,Olympiakos Piraeus,Olympiakos Piraeus,553,Piraeus,Greece,33296,FC Porto,212,Porto,Portugal,ATH,OPO,LGAV,LPPR,Athens,Porto,37.936352,23.94446,41.248051,-8.68138,3.72,5,0.0,0.0,0.0
144,Manchester,UTC,2020-12-09 20:00:00,UEFA Champions League,Manchester City,Manchester City,50,Manchester,England,55097,Marseille,81,Marseille,France,MAN,MRS,EGCC,LFML,Manchester,Marseille,53.353741,-2.27495,43.436661,5.215,4.12,3,1.0,0.0,0.0
145,Milano,UTC,2020-12-09 20:00:00,UEFA Champions League,Inter,Inter,505,Milano,Italy,80018,Shakhtar Donetsk,550,Kiev,Ukraine,FCO,KBP,LIRF,UKBB,Rome,Kyiv,41.80447,12.25079,50.345001,30.89472,9.31,10,1.0,1.0,0.0
146,Madrid,UTC,2020-12-09 20:00:00,UEFA Champions League,Real Madrid,Real Madrid,541,Madrid,Spain,85454,Borussia Monchengladbach,163,Mönchengladbach,Germany,MAD,FRA,LEMD,EDDF,Madrid,Frankfurt,40.488701,-3.57,50.037796,8.555783,13.73,13,0.0,0.0,0.0
147,München,UTC,2020-12-09 20:00:00,UEFA Champions League,Bayern Munich,Bayern Munich,157,München,Germany,75000,Lokomotiv Moscow,597,Moskva,Russia,FRA,SVO,EDDF,UUEE,Frankfurt,Moscow,50.037796,8.555783,55.972641,37.414581,7.53,8,0.0,0.0,1.0
148,Wals-Siezenheim,UTC,2020-12-09 20:00:00,UEFA Champions League,Red Bull Salzburg,Red Bull Salzburg,571,Wals-Siezenheim,Austria,31895,Atletico Madrid,530,Madrid,Spain,VIE,MAD,LOWW,LEMD,Vienna,Madrid,48.110271,16.569719,40.488701,-3.57,9.41,10,3.0,0.0,5.0
150,Barcelona,UTC,2021-02-16 20:00:00,UEFA Champions League,Barcelona,Barcelona,529,Barcelona,Spain,99787,Paris Saint Germain,85,Paris,France,BCN,BVA,LEBL,LFOB,Barcelona,Paris,41.29707,2.078463,49.454441,2.112778,7.53,7,2.0,0.0,0.0
151,Porto,UTC,2021-02-17 20:00:00,UEFA Champions League,FC Porto,FC Porto,212,Porto,Portugal,50399,Juventus,496,Torino,Italy,OPO,FCO,LPPR,LIRF,Porto,Rome,41.248051,-8.68138,41.80447,12.25079,4.61,5,1.0,1.0,0.0
152,Sevilla,UTC,2021-02-17 20:00:00,UEFA Champions League,Sevilla,Sevilla,536,Sevilla,Spain,48649,Borussia Dortmund,165,Dortmund,Germany,MAD,DTM,LEMD,EDLW,Madrid,Dortmund,40.488701,-3.57,51.518311,7.612242,8.54,9,3.0,2.0,3.0
154,Roma,UTC,2021-02-23 20:00:00,UEFA Champions League,Lazio,Lazio,487,Roma,Italy,68530,Bayern Munich,157,München,Germany,RMA,FRA,YROM,EDDF,Roma,Frankfurt,-26.545,148.774719,50.037796,8.555783,6.71,9,1.0,1.0,0.0
156,Bergamo,UTC,2021-02-24 20:00:00,UEFA Champions League,Atalanta,Atalanta,499,Bergamo,Italy,21300,Real Madrid,541,Madrid,Spain,FCO,MAD,LIRF,LEMD,Rome,Madrid,41.80447,12.25079,40.488701,-3.57,8.01,10,0.0,1.0,1.0
157,Torino,UTC,2021-03-09 20:00:00,UEFA Champions League,Juventus,Juventus,496,Torino,Italy,45666,FC Porto,212,Porto,Portugal,FCO,OPO,LIRF,LPPR,Rome,Porto,41.80447,12.25079,41.248051,-8.68138,4.39,7,1.0,0.0,1.0
158,Dortmund,UTC,2021-03-09 20:00:00,UEFA Champions League,Borussia Dortmund,Borussia Dortmund,165,Dortmund,Germany,81365,Sevilla,536,Sevilla,Spain,DTM,MAD,EDLW,LEMD,Dortmund,Madrid,51.518311,7.612242,40.488701,-3.57,3.44,5,2.0,2.0,1.0
159,Paris,UTC,2021-03-10 20:00:00,UEFA Champions League,Paris Saint Germain,Paris Saint Germain,85,Paris,France,47929,Barcelona,529,Barcelona,Spain,BVA,BCN,LFOB,LEBL,Paris,Barcelona,49.454441,2.112778,41.29707,2.078463,4.83,5,0.0,0.0,0.0
162,Madrid,UTC,2021-03-16 20:00:00,UEFA Champions League,Real Madrid,Real Madrid,541,Madrid,Spain,85454,Atalanta,499,Bergamo,Italy,MAD,FCO,LEMD,LIRF,Madrid,Rome,40.488701,-3.57,41.80447,12.25079,9.23,12,2.0,0.0,2.0
163,München,UTC,2021-03-17 20:00:00,UEFA Champions League,Bayern Munich,Bayern Munich,157,München,Germany,75000,Lazio,487,Roma,Italy,FRA,RMA,EDDF,YROM,Frankfurt,Roma,50.037796,8.555783,-26.545,148.774719,12.56,12,0.0,1.0,0.0
164,London,UTC,2021-03-17 20:00:00,UEFA Champions League,Chelsea,Chelsea,49,London,England,41841,Atletico Madrid,530,Madrid,Spain,BQH,MAD,EGKB,LEMD,London,Madrid,51.33083,0.0325,40.488701,-3.57,4.5,5,0.0,2.0,1.0
165,Manchester,UTC,2021-04-06 19:00:00,UEFA Champions League,Manchester City,Manchester City,50,Manchester,England,55097,Borussia Dortmund,165,Dortmund,Germany,MAN,DTM,EGCC,EDLW,Manchester,Dortmund,53.353741,-2.27495,51.518311,7.612242,2.11,4,1.0,1.0,2.0
166,Madrid,UTC,2021-04-06 19:00:00,UEFA Champions League,Real Madrid,Real Madrid,541,Madrid,Spain,85454,Liverpool,40,Liverpool,England,MAD,LPL,LEMD,EGGP,Madrid,Liverpool,40.488701,-3.57,53.333611,-2.84972,9.57,12,3.0,1.0,1.0
167,München,UTC,2021-04-07 19:00:00,UEFA Champions League,Bayern Munich,Bayern Munich,157,München,Germany,75000,Paris Saint Germain,85,Paris,France,FRA,BVA,EDDF,LFOB,Frankfurt,Paris,50.037796,8.555783,49.454441,2.112778,2.84,6,0.0,0.0,0.0
170,Paris,UTC,2021-04-13 19:00:00,UEFA Champions League,Paris Saint Germain,Paris Saint Germain,85,Paris,France,47929,Bayern Munich,157,München,Germany,BVA,FRA,LFOB,EDDF,Paris,Frankfurt,49.454441,2.112778,50.037796,8.555783,5.51,7,0.0,0.0,1.0
171,Dortmund,UTC,2021-04-14 19:00:00,UEFA Champions League,Borussia Dortmund,Borussia Dortmund,165,Dortmund,Germany,81365,Manchester City,50,Manchester,England,DTM,MAN,EDLW,EGCC,Dortmund,Manchester,51.518311,7.612242,53.353741,-2.27495,5.54,7,0.0,1.0,1.0
172,Liverpool,UTC,2021-04-14 19:00:00,UEFA Champions League,Liverpool,Liverpool,40,Liverpool,England,55212,Real Madrid,541,Madrid,Spain,LPL,MAD,EGGP,LEMD,Liverpool,Madrid,53.333611,-2.84972,40.488701,-3.57,4.66,6,2.0,1.0,2.0
173,Madrid,UTC,2021-04-27 19:00:00,UEFA Champions League,Real Madrid,Real Madrid,541,Madrid,Spain,85454,Chelsea,49,London,England,MAD,BQH,LEMD,EGKB,Madrid,London,40.488701,-3.57,51.33083,0.0325,7.58,9,0.0,5.0,2.0
174,Paris,UTC,2021-04-28 19:00:00,UEFA Champions League,Paris Saint Germain,Paris Saint Germain,85,Paris,France,47929,Manchester City,50,Manchester,England,BVA,MAN,LFOB,EGCC,Paris,Manchester,49.454441,2.112778,53.353741,-2.27495,4.43,5,2.0,0.0,0.0
175,Manchester,UTC,2021-05-04 19:00:00,UEFA Champions League,Manchester City,Manchester City,50,Manchester,England,55097,Paris Saint Germain,85,Paris,France,MAN,BVA,EGCC,LFOB,Manchester,Paris,53.353741,-2.27495,49.454441,2.112778,4.76,5,1.0,0.0,1.0
176,London,UTC,2021-05-05 19:00:00,UEFA Champions League,Chelsea,Chelsea,49,London,England,41841,Real Madrid,541,Madrid,Spain,BQH,MAD,EGKB,LEMD,London,Madrid,51.33083,0.0325,40.488701,-3.57,6.98,9,1.0,1.0,0.0
